Entity;Code;Year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ethiopia;ETH;2000;;;;;;;;;;;96.47059;97.05882;97.101456;97.4249;97.665375;97.916664;98.181816;95.19774;88.26667;89.420654;98.3968;98.8924;99.4702;99.653984;99.7888;99.8075;99.91981;99.923836;99.92748;99.929726;99.929726
Finland;FIN;1990;64.79132;65.03967;68.11017;64.45645;57.43449;60.540287;53.67541;59.340656;65.930145;63.576153;65.71142;59.644634;56.376286;49.702663;56.483646;66.44391;55.29555;58.99654;65.90023;63.011982;58.47648;64.70428;73.5483;69.37165;73.528984;78.67174;78.28563;80.381355;78.49385;81.52969;85.77636
Fiji;FJI;2000;;;;;;;;;;;70.96774;74.62686;70.42254;56.944443;58.666668;53.164555;53.57143;68.96552;70.454544;67.44186;61.111115;65.11628;72.093025;69.318184;58.241753;55.208332;62.500004;60.952385;65.13761;62.83186;63.636364
Falkland Islands;FLK;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;50;50;50;50;50;50;50;50;50;50
France;FRA;1990;88.65292;86.58828;89.02874;92.63084;92.90561;92.15799;91.48598;92.20696;89.25579;90.102264;90.51537;91.45038;90.46041;89.75211;90.033325;88.88324;89.98239;89.65155;90.205345;90.30252;89.76067;89.60345;90.05078;90.74507;93.69823;92.22017;89.89528;88.294846;91.44365;90.54302;90.869606
Faroe Islands;FRO;2000;;;;;;;;;;;38.095238;34.782608;43.47826;34.782608;41.666668;45.833336;45.833336;46.153847;38.46154;40.740738;29.62963;38.46154;39.285713;39.285713;53.333332;61.29032;50;53.125;50;40.540543;39.02439
Gabon;GAB;2000;;;;;;;;;;;62.5;64.44444;64.08451;60.958904;59.459457;52.980133;58.385094;47.02381;49.717514;51.933704;48.12834;42.34694;43.269234;46.039604;41.145836;45.365856;42.857143;42.922375;41.935482;44.690266;45.90909
United Kingdom;GBR;1990;22.523287;23.607395;26.056868;29.555134;29.299736;28.822786;28.727242;30.098227;29.949043;28.678988;25.385971;26.061146;25.735828;25.112528;24.058882;24.922867;23.779991;21.049417;19.317118;25.289482;23.308966;28.537775;30.934633;34.84158;38.265564;45.5985;46.009277;50.489407;52.977306;54.923054;59.403976
Georgia;GEO;2000;;;;;;;;;;;79.779915;80.73529;93.575424;91.50142;87.958885;86.414566;73.98031;82.61934;85.421684;87.17339;92.88578;78.256516;75.50158;82.97872;81.20079;78.88785;81.497795;81.43236;83.30537;76.98276;74.731186
Ghana;GHA;2000;;;;;;;;;;;91.86536;84.7348;70.464134;67.53927;89.11565;83.532936;67.88321;54.80059;75.42997;77.67654;69.98993;68.70997;68.34471;65.203514;65.8749;52.014324;48.77193;44.15888;42.24078;43.858597;36.534653
Guinea;GIN;2000;;;;;;;;;;;54.666668;58.51064;59.595955;45.977013;58.51064;55.68182;54.117645;56.382977;54.166668;54.166668;52.173912;48.235294;69.014084;75;60.869564;78.94737;68.32298;69.49152;51.00671;63.592236;77.8125
Gambia;GMB;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guinea-Bissau;GNB;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Equatorial Guinea;GNQ;2000;;;;;;;;;;;11.111111;16.666668;9.090909;8.333334;5.882353;5;3.846154;3.125;10.869565;9.803922;5.172414;4.6153846;10.666667;26.041668;34.862385;36.153847;33.57143;32.83582;32.59259;32.142857;34.751774
